ranking,city,statecode,avg_sal,med_h,med_r,avg_h_temp,avg_l_temp,med_age,unemp,avg_price,entry_sal,positions
1,Austin,TX,51840,291533,1155,79.7,54.8,34.2,2.9,404317,63924,86
2,Denver,CO,57400,393842,1203,64.6,36.2,36.3,3,488386,77402,181
3,Colorado Springs,CO,50050,286700,1070,62.1,35.7,34.4,3.7,321088,58686,7
4,Fayetteville,AR,45830,177942,778,68,45,33.9,2.7,221546,54929,19
5,Des Moines,IA,50600,178942,857,60.3,41.4,35.7,2.4,147694,72170,22
7,San Francisco,CA,69700,768517,1673,65.8,50.6,38.8,2.7,1451049,92498,207
8,Portland,OR,55330,375425,1118,63.1,45.6,37.8,3.8,464283,67880,41
9,Seattle,WA,63120,442333,1297,60.2,45,37.1,3.9,802912,81519,130
11,Huntsville,AL,53600,167300,779,,,38.4,3.5,178465,58017,11
12,Madison,WI,52190,247967,958,55.9,36.8,35.9,2.2,293514,100662,14
13,Grand Rapids,MI,44770,181533,826,57.9,40.2,35.7,3.1,177723,57225,11
14,San Jose,CA,77180,1080017,1940,72.4,50.6,36.9,2.6,1089860,87059,179
15,Nashville,TN,47110,248883,951,69.7,48.9,36.3,2.8,287500,67187,51
17,Boise,ID,43880,221475,879,63.5,41.2,35.8,2.6,331482,56828,16
18,Sarasota,FL,42680,237260,1089,81.7,64.1,51.6,3.3,289167,55593,8
20,Charlotte,NC,50150,213983,935,70.9,48.7,37.3,3.6,254255,101284,73
22,Greenville,SC,43230,172067,787,70.3,50.5,38.5,3.3,203775,57444,10
23,Portland,ME,48970,223367,975,55.7,37.1,43.4,2.6,333446,50995,8
24,Salt Lake City,UT,47272,324198,963,63.8,41.6,30.2,3,436115,75686,57
25,Melbourne,FL,48240,198425,971,81.9,62.8,47.1,3.5,245384,56120,2
26,Phoenix,AZ,49500,234183,1032,86.6,63.4,36.2,4.1,271291,76096,103
27,Boston,MA,65420,423450,1335,58.7,44,38.7,3.1,620097,77840,236
30,Houston,TX,53820,223875,995,78.9,61.5,34,4.3,192681,73062,76
31,Winston-Salem,NC,44910,145725,732,69.7,49.4,40.4,3.7,153108,56460,17
32,Omaha,NE,47660,171164,865,61.8,40.2,35.4,2.9,193769,55609,21
33,Reno,NV,46330,351500,946,92.1,57.7,38.2,3.7,411558,58653,5
34,San Antonio,TX,46200,211800,949,80.2,58.6,34.4,3.3,186009,83577,21
35,Fort Myers,FL,41380,219200,1035,84.3,64.4,47.8,3.4,260200,56593,2
36,San Diego,CA,56410,555325,1467,69.7,57.5,35.4,3.3,717383,68102,76
37,Pensacola,FL,41200,175875,952,90,74.5,38,3.5,157072,54166,7
38,Indianapolis,IN,48030,173700,859,61.8,44.4,36.3,3.2,151493,56594,37
39,Cincinnati,OH,48890,161483,787,65.1,43.4,37.7,3.9,161214,68062,47
40,Fort Wayne,IN,43590,146200,714,84.4,62.8,36.4,3.1,144412,45368,3
41,Lansing,MI,47990,136342,834,57.3,39.1,35.3,3.7,95504,70490,16
42,Jacksonville,FL,45760,174658,1019,79.2,61.2,38.1,3.3,196115,56689,14
43,Manchester,NH,52640,234097,1132,82.4,62.8,40.5,2.5,267826,59341,16
44,Harrisburg,PA,48270,162967,903,62.5,43.7,40.3,3.7,55717,63409,17
45,Charleston,SC,44970,246408,1054,76.1,55.5,36.6,3,339668,58807,6
46,Knoxville,TN,43840,172333,779,69.5,48.8,40.5,3.3,200199,60289,6
47,Hartford,CT,60040,215542,1057,60.7,41.5,40.7,4.2,155406,48875,46
49,Kansas City,MO,49460,201900,894,64.6,44.5,37.1,3.4,157990,63928,44
50,Pittsburgh,PA,48580,140855,776,60.6,41.9,43,4.3,158964,54999,49
52,Buffalo,NY,48180,144300,763,56.3,40.2,40.8,4.7,102896,64065,12
53,Richmond,VA,49840,225767,1044,69.6,48.1,38.5,3.2,240257,67878,27
54,Syracuse,NY,49850,132500,804,57.6,38.9,39.2,4.5,98555,58820,13
55,Chattanooga,TN,42870,164550,771,71.6,50.1,40.1,3.5,164328,76631,2
56,Tampa,FL,46080,199717,1014,81.7,65.1,42,3.4,251269,73775,62
57,Atlanta,GA,51390,209658,1053,71.8,53.2,36.1,3.7,300255,71850,170
58,Rochester,NY,49570,135042,848,57.1,39.3,39.9,4.4,128115,47319,7
59,Lakeland,FL,40560,171967,913,85.2,62.7,40.4,4,178985,53962,3
60,Honolulu,HI,54030,581658,1653,84.4,70.9,37.6,2.1,977282,59944,11
61,Milwaukee,WI,50070,207400,864,55.5,40,37.6,3.1,131152,79710,25
63,Orlando,FL,44410,233050,1107,82.8,62.8,36.9,3.2,267171,72547,49
64,Louisville,KY,45100,167300,792,67.7,48.5,38.8,3.9,179855,48913,17
65,Spokane,WA,47320,221800,833,57.6,38.6,38.3,5.5,254665,51895,6
66,Greensboro,NC,43310,142758,777,69.2,49,38.8,4.1,165533,56735,11
67,Columbia,SC,43840,144192,889,75.6,53.9,36.3,3.5,148470,45368,18
68,Oklahoma City,OK,46070,150925,827,72.2,50.7,34.9,3.3,141460,88481,21
69,Dayton,OH,48700,126325,770,61,42.8,39.4,4.3,60144,80582,30
70,Anchorage,AK,58980,259900,1237,9.3,43.9,33.5,6.1,374498,61896,5
71,Las Vegas,NV,44450,271767,1048,80,58.6,36.9,4.8,299816,59846,19
72,Augusta,GA,44020,147427,809,76.8,50.9,37.2,4.1,108586,55407,6
73,Santa Barbara,CA,54320,463750,1496,73,54,33.7,3.9,1151867,76792,4
74,Santa Rosa,CA,53890,629917,1456,71,44.2,41.4,2.7,601921,63924,8
75,Myrtle Beach,SC,35890,181800,883,81,39,46.5,4.6,265484,52502,0
76,Tucson,AZ,46140,203458,861,83.1,55.7,38.2,4.4,218379,70773,3
77,Salem,OR,47240,269367,877,83.6,42.4,36.3,4.2,293913,105531,2
79,Wichita,KS,43880,143850,769,67.6,45.5,35.8,3.7,136662,55541,7
80,Springfield,MO,40560,146416,721,43,22.5,36.6,2.8,146501,52813,5
82,Sacramento,CA,55010,389858,1157,73.8,47.6,37,3.7,354148,69119,30
83,Tulsa,OK,45260,149000,804,71.3,50.1,36.8,3.6,131658,57260,6
85,Cleveland,OH,45589,132516,782,59.2,45.9,41,4.9,65532,65755,31
86,Springfield,MA,50930,199650,903,59.2,37.3,38.2,4.2,174482,62089,34
87,York,PA,44740,164258,915,,,41,3.8,176340,52974,22
88,Little Rock,AR,43780,147150,805,72.8,52.4,36.5,3.3,150536,63600,23
89,Birmingham,AL,47300,171450,831,73.8,52.6,38.4,3.6,59747,54892,20
91,Providence,RI,52220,228804,925,60.6,42.5,40.2,4.1,240913,62635,25
92,Detroit,MI,52100,156508,890,57.8,42.7,40,4.3,34909,70109,60
94,Toledo,OH,44180,117850,710,59.9,40.6,37.3,4.9,73883,56309,2
95,New Haven,CT,55450,204475,1100,60.6,43.7,40.1,4.1,196009,63005,22
96,Lafayette,LA,39940,165500,769,,,35.4,4.9,172849,55852,4
97,Youngstown,OH,41360,86850,652,58.3,39.7,43.9,5.8,25638,53789,16
98,Scranton,PA,41980,100600,745,58.7,40,42.8,5,90374,55851,11
99,Daytona Beach,FL,38710,192817,990,80.1,61.6,47.1,3.7,178429,53872,5
100,Baltimore,MD,56400,248833,1220,65,45.1,38.3,4.2,148820,86191,97
101,Killeen,TX,41770,155500,888,,,31.1,4,135104,51142,20
102,Philadelphia,PA,54940,200142,1075,64.6,47.1,38.6,4.2,178942,71872,171
103,Virginia Beach,VA,47410,220275,1124,68.2,52,35.7,3.3,287932,56881,30
104,Chicago,IL,54160,221983,1048,59,40.7,37,4.2,221752,73041,199
105,Corpus Christi,TX,44710,,940,,,35.7,5,158264,55890,1
106,Albuquerque,NM,46400,201900,850,68.7,45.4,37.7,4.6,213805,58249,9
107,Los Angeles,CA,53803,526214,1362,69,56.2,35.9,4.2,756217,73934,164
108,Beaumont,TX,47900,,797,,,36.9,6.2,109736,55174,0
109,Baton Rouge,LA,44500,179350,873,78.9,57.9,34.9,4.3,189254,58626,13
110,El Paso,TX,38610,151300,789,77.4,51.6,31.9,4.3,136997,36786,3
111,Jackson,MS,42770,,838,75.5,53.6,36,4.1,44573,56851,7
113,Miami,FL,46860,247113,1232,84.3,70,40.7,3.7,392862,64384,46
114,New Orleans,LA,43310,193575,947,78.2,61.1,37.7,4.5,225899,53047,5
115,Flint,MI,45820,121900,738,,,40.1,5.1,24470,52617,1
116,Brownsville,TX,35240,,683,,,31.4,6.2,103350,49968,1
117,Salinas,CA,48290,581342,1338,,,33.9,6.4,521572,60591,2
118,Memphis,TN,43950,151900,883,72.4,53.6,35.9,4.1,93598,43121,9
119,Fresno,CA,45510,260733,931,76.7,51.9,31.8,7.4,257940,60100,3
120,Modesto,CA,46176,289168,1011,76,51.3,32.9,7,313307,59367,4
121,Mobile,AL,43830,126976,828,,,37.3,4.7,127644,55249,1
122,Shreveport,LA,39400,,789,,,36.7,5.2,103134,55397,3
123,Stockton,CA,46770,352350,1100,74.3,48.3,33.9,5.9,320134,59113,6
124,Bakersfield,CA,47680,226908,933,76.8,53.5,31.3,8,254820,59792,2
